clock,note,desired frequency,factor 1,ARR,after ARR,psc,after psc,psc,after psc,samples per sine,,,,,,
84000000,C0,16.35,5137614.679,78,65033.0972,0,65033.0972,0,65033.0972,16,4064.568575,65865.85486,C0,,,
, C#0/Db0 ,17.32,4849884.527,,61390.94337,100,607.8311225,,61390.94337,,3836.933961,62177.00675, C#0/Db0 ,,,
,D0,18.35,4577656.676,,57945.02121,200,288.2836876,,57945.02121,,3621.563826,58686.9061,D0,,,
, D#0/Eb0 ,19.45,4318766.067,,54667.9249,300,181.6210129,,54667.9249,,3416.745306,55367.79573, D#0/Eb0 ,,,
,E0,20.6,4077669.903,,51616.07472,400,128.7183908,,51616.07472,,3226.00467,52276.81927,E0,,,
,F0,21.83,3847915.712,,48707.79383,500,97.22114536,,48707.79383,,3044.237114,49331.25272,F0,,,
, F#0/Gb0 ,23.12,3633217.993,,45990.10118,600,76.52263091,,45990.10118,,2874.381324,46578.71786, F#0/Gb0 ,,,
,G0,24.5,3428571.429,,43399.63834,700,61.911039,,43399.63834,,2712.477396,43955.04396,G0,,,
, G#0/Ab0 ,25.96,3235747.304,,40958.82663,800,51.13461502,,40958.82663,,2559.926664,41482.93979, G#0/Ab0 ,,,
,A0,27.5,3054545.455,,38665.13234,900,42.9135764,,38665.13234,,2416.570771,39159.83916,A0,,,
, A#0/Bb0 ,29.14,2882635.553,,36489.05763,1000,36.45260502,,36489.05763,,2280.566102,36955.86606, A#0/Bb0 ,,,
,B0,30.87,2721088.435,,34444.15741,1100,31.28442998,,34444.15741,,2152.759838,34884.74917,B0,,,
,C1,32.7,2568807.339,,32516.5486,1200,27.0745617,,32516.5486,,2032.284288,32932.42743,C1,,,
, C#1/Db1 ,34.65,2424242.424,,30686.61297,1300,23.58694309,,30686.61297,,1917.91331,31079.03108, C#1/Db1 ,,,
,D1,36.71,2288204.849,,28964.61834,1400,20.67424578,,28964.61834,,1810.288646,29334.9596,D1,,,
, D#1/Eb1 ,38.89,2159938.287,,27340.99098,1500,18.21518386,,27340.99098,,1708.811936,27690.51651, D#1/Eb1 ,,,
